job title,company name,Date,location,skills,links
Senior Odoo Developer,Peerless -,18 days ago,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · PostgreSQL · jQuery · JavaScript · XML · HTML · Odoo Development · odoo migration,/jobs/p/0c4rUhZhSeaV-Senior-Odoo-Developer-Peerless-Giza-Egypt?o=37&l=sp&t=sj&a=python|search-v3|hpb|spbl
Linux System Administrator,OpenCode -,18 days ago,"Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Telecommunication · MNOs · VAS · SS7 · VXML · ISUP · MAP,/jobs/p/gxskrnqVOWkG-Linux-System-Administrator-OpenCode-Cairo-Egypt?o=38&l=sp&t=sj&a=python|search-v3|hpb|spbl
AWS Developer,Collars HR -,19 days ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Computer Science · Python · Software Development · SQL · JSON · REST · XML,/jobs/p/ACaiQgsVTLFX-AWS-Developer-Collars-HR-Cairo-Egypt?o=39&l=sp&t=sj&a=python|search-v3|hpb|spbl
Segmentations & Data Mining Senior Specialist,Etisalat Egypt -,19 days ago,"Cairo, Egypt ",Full TimeEntry Level · 1 - 4 Yrs of Exp · Marketing/PR/Advertising · Analyst/Research · Data · Data Mining · Computer Science · Information Technology (IT) · Python · Machine Learning · Power BI,/jobs/p/6y9iPo2Sa6R6-Segmentations-Data-Mining-Senior-Specialist-Etisalat-Egypt-Cairo-Egypt?o=40&l=sp&t=sj&a=python|search-v3|hpb|spbl
Odoo Developer - Kuwait,Furdtk -,23 days ago,"Kuwait City, Kuwait ",Full TimeExperienced · 2 - 5 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · API · Odoo · Linux · Python · Computer Science · Design · HTML,/jobs/p/I6Z3me6vTeYw-Odoo-Developer---Kuwait-Furdtk-Kuwait-City-Kuwait?o=41&l=sp&t=sj&a=python|search-v3|hpb|spbl
DevOps Lead,Unifonic -,21 days ago,"Cairo, Egypt ",Full TimeWork From HomeManager · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Docker · DevOps · Kubernetes · AWS · CI/CD · Jenkins · Terraform · Agile,/jobs/p/abgHEb03Xa9g-DevOps-Lead-Unifonic-Cairo-Egypt?o=42&l=sp&t=sj&a=python|search-v3|hpb|spbl
Senior Data Scientist,Wakeb Data -,21 days ago,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · data scientist · Computer Science · SQL · Software Development · Data Science · Information Technology (IT) · Algorithms · Python,/jobs/p/EoqeMUGYN5D1-Senior-Data-Scientist-Wakeb-Data-Giza-Egypt?o=43&l=sp&t=sj&a=python|search-v3|hpb|spbl
PHP Backend Developer,Restart Technology -,21 days ago,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Development · laravel · Git · REST · Backend · MySQL · PHP,/jobs/p/nhkMI94ZD4Qt-PHP-Backend-Developer-Restart-Technology-Cairo-Egypt?o=44&l=sp&t=sj&a=python|search-v3|hpb|spbl
Junior Cloud Native & Infrastructure,BBI-Consultancy -,21 days ago,"Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud · Computer Science · Docker · Python · MySQL,/jobs/p/5nTGgbwe5VwM-Junior-Cloud-Native-Infrastructure-BBI-Consultancy-Cairo-Egypt?o=45&l=sp&t=sj&a=python|search-v3|hpb|spbl
Devops Engineer,RMG -,21 days ago,"Riyadh, Saudi Arabia ",Freelance / ProjectExperienced · 4 - 6 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · DevOps · Information Technology (IT) · AWS · Azure · Bash · Cloud · Computer Science,/jobs/p/U5EXRMQtLjkf-Devops-Engineer-RMG-Riyadh-Saudi-Arabia?o=46&l=sp&t=sj&a=python|search-v3|hpb|spbl
Ruby ON Rails Developer,Capella Solutions -,19 days ago,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Ruby · Rails · coding · Ruby on Rails · Software Development · Computer Engineering · Computer Science · English,/jobs/p/b01eomjph8Gi-Ruby-ON-Rails-Developer-Capella-Solutions-Cairo-Egypt?o=47&l=sp&t=sj&a=python|search-v3|hpb|spbl
Odoo Developer,Royal Herbs  -,25 days ago,"Haram, Giza, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Database · Engineering · Odoo · Python · Software,/jobs/p/8UiMlGDd2uSf-Odoo-Developer-Royal-Herbs-Giza-Egypt?o=48&l=sp&t=sj&a=python|search-v3|hpb|spbl
DevOps Engineer,Luftborn -,26 days ago,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Azure · DevOps · Network Security · AWS · Elasticsearch · Bash Scripting · Python Scripting,/jobs/p/DzFw0PM9Og5y-DevOps-Engineer-Luftborn-Cairo-Egypt?o=49&l=sp&t=sj&a=python|search-v3|hpb|spbl
